i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
354,3053,pop_13_op_e1_n6_250818_234141,pop_9_op_e2_n19_250821_190214,0.013344637,0.045569986
2182,4644,pop_16_op_m2_n17_250822_004123,pop_9_op_m2_n7_250825_175959,0.02414021,3.07547
2489,3697,pop_1_op_m2_n1_250821_140257,pop_16_op_e1_n9_251114_103613,0.07285825,0.3712
880,4376,pop_1_op_e1_n10_250815_173701,pop_6_op_m1_n0_250825_151929,0.024678053,0.039789975
1618,2151,pop_0_op_i1_n5_250821_114751,pop_16_op_e2_n5_250822_002000,0.02502037,10.41447
603,4166,pop_16_op_e2_n6_250819_115329,pop_3_op_m2_n0_250825_132000,0.073001474,8.36047
3190,4362,pop_0_op_m1_n1_250825_104303,pop_6_op_e2_n14_250825_151150,0.04685513,8.34418
2210,2891,pop_17_op_e1_n7_250822_005416,pop_7_op_e2_n0_250821_173739,0.022841858,2.23629
1534,3274,pop_9_op_m1_n5_250818_104712,pop_10_op_m1_n6_250825_184151,0.087560974,9.30489
1054,2429,pop_3_op_e2_n1_250816_111346,pop_1_op_e1_n16_250821_132746,0.0060059996,0.18631
1472,2623,pop_8_op_m2_n1_250818_071502,pop_3_op_m1_n19_250821_150204,0.045497455,4.9672003
2492,3112,pop_1_op_m2_n4_250821_140257,pop_0_op_e1_n1_250825_101251,0.07154678,3.7291102
4369,4472,pop_6_op_e2_n3_250825_151150,pop_7_op_m1_n9_250825_160319,0.014220495,8.35971
69,2031,pop_0_op_i1_n9_250815_103638,pop_14_op_m2_n1_250821_231254,0.026811656,7.27694
746,953,pop_18_op_e2_n16_250819_193750,pop_1_op_m2_n9_250815_222812,0.011767876,0.22651
2321,3869,pop_18_op_m1_n3_250822_030838,pop_18_op_m2_n10_251114_124328,0.0122615835,0.17492001
1577,2926,pop_0_op_e2_n14_250821_124235,pop_7_op_m1_n5_250821_175151,0.016211802,10.3170595
2898,3254,pop_7_op_e2_n16_250821_173739,pop_10_op_e2_n6_250825_182734,0.023925278,4.84998
451,1675,pop_14_op_e2_n4_250819_041931,pop_10_op_e1_n17_250821_193729,0.0066675497,6.56956
1451,3061,pop_8_op_m1_n16_250818_061806,pop_9_op_e2_n8_250821_190214,0.03946958,7.2714
494,3568,pop_14_op_m2_n7_250819_061049,pop_14_op_m1_n0_250825_223750,0.080349624,3.90324
1543,3867,pop_9_op_m2_n13_250818_113900,pop_18_op_m1_n9_251114_123555,0.018576026,0.16029
2022,3219,pop_14_op_m2_n11_250821_231254,pop_10_op_e1_n0_250825_181006,0.026680876,3.24297
2190,3739,pop_16_op_m2_n6_250822_004123,pop_16_op_m2_n2_251114_111710,0.016139043,0.7451
3316,3911,pop_11_op_e2_n0_250825_192131,pop_19_op_e2_n17_251114_131104,0.012629023,1.125
1800,2956,pop_11_op_m2_n11_250821_205841,pop_8_op_e1_n14_250821_181016,0.017251035,0.34223002
1526,4173,pop_9_op_m1_n16_250818_104712,pop_3_op_m2_n16_250825_132000,0.033514358,1.07184
1339,1990,pop_7_op_e1_n19_250817_221357,pop_14_op_e2_n15_250821_225424,0.0055375076,0.17091
1113,4482,pop_4_op_e1_n4_250816_190028,pop_7_op_m2_n18_250825_161201,0.054165307,0.12892997
3171,4471,pop_0_op_i1_n6_250825_093130,pop_7_op_m1_n8_250825_160319,0.021707676,8.1239805
165,2959,pop_10_op_m1_n9_250818_140658,pop_8_op_e1_n18_250821_181016,0.03822493,6.6286097
649,3278,pop_17_op_e1_n12_250819_144727,pop_10_op_m2_n0_250825_185514,0.063903876,6.77174
2281,3869,pop_18_op_e1_n19_250822_024320,pop_18_op_m2_n10_251114_124328,0.031096749,0.34381998
5,928,pop_0_op_e1_n14_250815_114538,pop_1_op_m1_n4_250815_205401,0.026963482,6.94224
2946,3740,pop_7_op_m2_n5_250821_180122,pop_16_op_m2_n3_251114_111710,0.015637701,0.14321999
34,108,pop_0_op_e2_n5_250815_130509,pop_0_op_m2_n8_250815_160637,0.04314896,0.30595
