i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
3207,3656,pop_0_op_m2_n17_250825_105419,pop_15_op_m1_n2_250826_002514,0.74418604,8.60409
3626,3776,pop_15_op_e2_n0_250826_001255,pop_17_op_e2_n6_251114_113814,0.5185185,0.08035
1917,3089,pop_13_op_e2_n15_250821_221005,pop_9_op_m2_n17_250821_192903,0.7297297,3.85279
2191,3758,pop_16_op_m2_n7_250822_004123,pop_17_op_e1_n6_251114_112630,0.75757575,0.09007999
3276,3901,pop_10_op_m1_n8_250825_184151,pop_19_op_e1_n8_251114_125527,0.6707317,0.09196001
1287,2079,pop_6_op_e2_n5_250817_171559,pop_15_op_m1_n11_250821_235057,0.6481481,5.68996
804,3628,pop_19_op_e1_n14_250819_223305,pop_15_op_e2_n11_250826_001255,0.7878788,8.53837
2582,3063,pop_3_op_e1_n16_250821_144345,pop_9_op_m1_n0_250821_191812,0.6268657,0.49460998
64,2132,pop_0_op_i1_n6_250815_103638,pop_16_op_e1_n6_250822_000601,0.8333333,10.118159
2349,4150,pop_19_op_e1_n10_250822_032916,pop_3_op_m1_n13_250825_130546,0.6530612,8.06364
1803,2642,pop_11_op_m2_n14_250821_205841,pop_3_op_m2_n18_250821_150921,0.7419355,8.25538
173,3531,pop_10_op_m2_n16_250818_151722,pop_14_op_e1_n12_250825_220723,0.8108108,0.30905002
649,3420,pop_17_op_e1_n12_250819_144727,pop_12_op_m1_n15_250825_203123,0.82417583,6.44276
1140,2197,pop_4_op_m1_n14_250816_234753,pop_17_op_e1_n12_250822_005416,0.83116883,4.3030095
532,4515,pop_15_op_e2_n9_250819_075923,pop_8_op_e2_n13_250825_163723,0.8041237,4.3577795
2042,3700,pop_15_op_e1_n11_250821_232056,pop_16_op_e2_n11_251114_105126,0.75,0.7701
3106,4106,pop_0_op_e1_n14_250825_101251,pop_2_op_m2_n7_250825_122724,0.5060241,0.9966999
436,3041,pop_14_op_e1_n9_250819_032631,pop_9_op_e1_n7_250821_185036,0.7419355,0.03999996
2189,2249,pop_16_op_m2_n5_250822_004123,pop_17_op_m1_n8_250822_022054,0.15384616,0.060119987
3973,4423,pop_1_op_e2_n0_250825_111844,pop_7_op_e1_n18_250825_153457,0.734375,7.38514
2626,3777,pop_3_op_m1_n3_250821_150204,pop_17_op_e2_n7_251114_113814,0.7222222,0.33473
368,2110,pop_13_op_e2_n19_250819_003818,pop_15_op_m2_n3_250821_235959,0.7027027,0.21689004
326,3554,pop_12_op_m2_n15_250818_224341,pop_14_op_e2_n15_250825_222219,0.7837838,7.25464
1311,2670,pop_6_op_m2_n10_250817_202921,pop_4_op_e2_n10_250821_153039,0.7790698,1.8004799
2659,2949,pop_4_op_e1_n15_250821_151858,pop_7_op_m2_n8_250821_180122,0.6885246,0.80626005
2627,2982,pop_3_op_m1_n4_250821_150204,pop_8_op_e2_n5_250821_182057,0.703125,1.3961301
2572,4295,pop_2_op_m2_n7_250821_143855,pop_5_op_e2_n5_250825_143236,0.6458333,7.2919803
420,431,pop_14_op_e1_n11_250819_032631,pop_14_op_e1_n4_250819_032631,0.68292683,0.37215
1842,2598,pop_12_op_e2_n15_250821_212419,pop_3_op_e2_n14_250821_145229,0.35555556,8.61877
1264,3693,pop_6_op_e1_n1_250817_151643,pop_16_op_e1_n3_251114_103613,0.8214286,0.17218
1412,4461,pop_8_op_e1_n15_250818_041433,pop_7_op_m1_n17_250825_160319,0.73333335,12.85214
771,2801,pop_18_op_m1_n2_250819_203800,pop_6_op_e1_n13_250821_163713,0.8269231,5.11189
143,1025,pop_10_op_e2_n7_250818_131639,pop_2_op_m2_n9_250816_063801,0.67142856,8.18676
1383,1614,pop_7_op_m1_n7_250818_013530,pop_0_op_i1_n3_250821_114751,0.73333335,2.2929
490,2029,pop_14_op_m2_n3_250819_061049,pop_14_op_m2_n18_250821_231254,0.8082192,8.45574
2990,4566,pop_8_op_m1_n12_250821_183518,pop_8_op_m2_n8_250825_170618,0.7368421,0.17708
997,2438,pop_2_op_m1_n18_250816_042619,pop_1_op_e1_n6_250821_132746,0.75641024,1.9020399
1285,2591,pop_6_op_e2_n3_250817_171559,pop_3_op_e1_n8_250821_144345,0.7962963,0.96993005
1898,4215,pop_13_op_e1_n14_250821_215840,pop_4_op_e2_n1_250825_134525,0.69491524,10.36983
2012,4612,pop_14_op_m1_n2_250821_230549,pop_9_op_m1_n14_250825_174611,0.75757575,8.64158
1446,3965,pop_8_op_m1_n11_250818_061806,pop_1_op_e1_n2_250825_110419,0.61290324,0.45335
161,1744,pop_10_op_m1_n5_250818_140658,pop_11_op_e1_n10_250821_202035,0.8068182,1.28491
1087,3718,pop_3_op_m2_n13_250816_161636,pop_16_op_m1_n16_251114_110423,0.7692308,0.045110017
2455,3818,pop_1_op_e2_n5_250821_134426,pop_18_op_e1_n12_251114_120931,0.7777778,0.47056
270,786,pop_12_op_e1_n18_250818_200713,pop_18_op_m2_n16_250819_213621,0.6,8.48408
3205,3976,pop_0_op_m2_n15_250825_105419,pop_1_op_e2_n12_250825_111844,0.5777778,3.7845402
1307,3464,pop_6_op_m1_n7_250817_185429,pop_13_op_e1_n1_250825_210427,0.78205127,1.3803997
1161,4264,pop_4_op_m2_n15_250817_021802,pop_5_op_e1_n11_250825_141707,0.7977528,8.39206
1364,2588,pop_7_op_e2_n7_250817_235400,pop_3_op_e1_n5_250821_144345,0.8115942,0.08638999
2018,2619,pop_14_op_m1_n8_250821_230549,pop_3_op_m1_n15_250821_150204,0.75,0.14980003
813,3075,pop_19_op_e1_n4_250819_223305,pop_9_op_m1_n3_250821_191812,0.8181818,13.594271
42,586,pop_0_op_i1_n11_250815_092055,pop_16_op_e1_n7_250819_105708,0.6666667,6.27269
2588,3336,pop_3_op_e1_n5_250821_144345,pop_11_op_m1_n10_250825_193956,0.7258065,0.27688
2346,2859,pop_18_op_m2_n8_250822_032258,pop_6_op_m2_n13_250821_171918,0.7816092,8.51916
3316,3642,pop_11_op_e2_n0_250825_192131,pop_15_op_e2_n7_250826_001255,0.5,1.01866
1753,4628,pop_11_op_e1_n1_250821_202035,pop_9_op_m2_n10_250825_175959,0.7804878,8.66333
2395,3087,pop_19_op_m1_n2_250822_035734,pop_9_op_m2_n15_250821_192903,0.7916667,0.15994999
1901,4561,pop_13_op_e1_n18_250821_215840,pop_8_op_m2_n3_250825_170618,0.75714284,3.2911103
1047,1888,pop_3_op_e2_n12_250816_111346,pop_12_op_m2_n4_250821_215033,0.7582418,5.96673
1942,3033,pop_13_op_m1_n3_250821_222218,pop_9_op_e1_n17_250821_185036,0.71875,13.7215805
